pool_id,offset
0,0.0
1,153.1294863808586
2,107.45372137895085
3,139.77668138511902
4,192.62131233468415
5,155.87449449206102
6,154.86460397354773
7,189.34359347066268
8,130.97350336021213
9,147.6096064923312
10,103.92051277431158
11,299.50297664673144
12,218.68609363126592
13,175.14868676065103
14,183.9262206137089
15,272.2618383974711
16,170.97485942438092
17,299.66366570338647
18,189.56734705228706
19,192.72403201201678
20,181.41122373198974
21,152.20077666698992
22,221.54377558904275
23,155.64128435839663
24,176.17276534314433
25,245.06262109035453
26,217.16380354848906
27,288.8306118414839
28,216.67833508488476
29,234.7491570613549
30,137.9850444946722
31,166.36252181743814
32,125.24114919180671
33,276.7400397591352
34,177.01903254802104
35,192.68403452232172
36,145.34441663688725
37,170.21467324520384
38,205.38542303175748
39,104.61940351490166
40,166.81110529685688
41,113.905123188638
42,135.8569962049801
43,174.62234640140804
44,76.36592756252605
45,297.1277310171024
46,211.7733972440384
47,137.65013623765938
48,63.87547363855223
49,72.90479357753321
50,125.00619423733386
51,286.93921732823327
52,90.02881872024517
53,-2.0258177938059854
54,50.2128659011622
55,-77.5619065035985
56,20.516619355399325
